,instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
48796,45081.0,21 Savage,asmr,75.0,0.0399,0.84,171714.0,0.5429999999999999,0.0,C#,0.1169999999999999,-7.737999999999999,Major,0.476,170.067,4-Apr,0.161,Hip-Hop
27312,27958.0,21 Savage,Disrespectful,64.0,0.354,0.799,160320.0,0.381,3.12e-06,C#,0.135,-7.147,Major,0.4639999999999999,158.02100000000002,4-Apr,0.0488,Rap
46675,73533.0,21 Savage,out for the night - part 2,72.0,0.0133,0.593,235232.0,0.632,0.0,F#,0.64,-5.381,Minor,0.541,173.36900000000003,4-Apr,0.0789,Hip-Hop
27516,69107.0,21 Savage,Mad High,54.0,0.0189,0.772,-1.0,0.737,9.39e-05,A#,0.206,-7.648,Minor,0.2,149.951,4-Apr,0.5329999999999999,Rap
25023,25193.0,21 Savage,No Heart,74.0,0.136,0.906,235040.0,0.444,6.440000000000001e-05,E,0.173,-8.692,Minor,0.384,140.063,4-Apr,0.6779999999999999,Rap
49916,55591.0,21 Savage,No Heart,74.0,0.136,0.906,235040.0,0.444,6.440000000000001e-05,E,0.173,-8.692,Minor,0.384,140.063,4-Apr,0.6779999999999999,Hip-Hop
49974,22545.0,24hrs,Fitness (feat. Wiz Khalifa),61.0,0.0243,0.633,204017.0,0.579,0.0,C,0.0974,-8.988,Minor,0.203,159.915,4-Apr,0.327,Hip-Hop
26179,58791.0,24hrs,Lie Detector (feat. Lil Pump),59.0,0.298,0.841,214065.0,0.8290000000000001,0.0,A#,0.196,-3.29,Major,0.0637,?,4-Apr,0.8190000000000001,Rap
27218,80572.0,24hrs,Fitness (feat. Wiz Khalifa),61.0,0.0243,0.633,204017.0,0.579,0.0,C,0.0974,-8.988,Minor,0.203,159.915,4-Apr,0.327,Rap
45481,79417.0,24hrs,Lie Detector (feat. Lil Pump),59.0,0.298,0.841,214065.0,0.8290000000000001,0.0,A#,0.196,-3.29,Major,0.0637,77.518,4-Apr,0.8190000000000001,Hip-Hop
45152,46537.0,2Pac,Picture Me Rollin',60.0,0.0289999999999999,0.8320000000000001,314720.0,0.757,0.0,G,0.4629999999999999,-4.908,Major,0.135,95.905,4-Apr,0.449,Hip-Hop
29243,25211.0,2Pac,Wonda Why They Call U B____,56.0,0.0731,0.792,258467.0,0.8759999999999999,0.0,E,0.351,-2.8560000000000003,Minor,0.228,101.277,4-Apr,0.457,Rap
46694,26924.0,2Pac,Troublesome '96,52.0,0.132,0.862,277267.0,0.93,5.8200000000000005e-05,C#,0.368,-3.594,Major,0.222,97.49,4-Apr,0.575,Hip-Hop
28842,59023.0,2Pac,They Don't Give A F**** About Us,56.0,0.287,0.84,306200.0,0.7390000000000001,0.0,E,0.342,-4.885,Minor,0.272,81.866,4-Apr,0.812,Rap
28188,47140.0,2Pac,Troublesome '96,52.0,0.132,0.862,277267.0,0.93,5.8200000000000005e-05,C#,0.368,-3.594,Major,0.222,97.49,4-Apr,0.575,Rap
25599,68620.0,2Pac,How Do U Want It,52.0,0.13,0.8320000000000001,287760.0,0.82,2.09e-06,G#,0.0568,-2.268,Major,0.0896,92.454,4-Apr,0.831,Rap
47722,81559.0,2Pac,How Do U Want It,52.0,0.13,0.8320000000000001,287760.0,0.82,2.09e-06,G#,0.0568,-2.268,Major,0.0896,92.454,4-Apr,0.831,Hip-Hop
29929,58904.0,2Pac,Run Tha Streetz,56.0,0.109,0.7879999999999999,316400.0,0.7879999999999999,3.08e-06,G#,0.174,-4.342,Major,0.231,166.97299999999998,4-Apr,0.722,Rap
49759,79458.0,2Pac,Run Tha Streetz,56.0,0.109,0.7879999999999999,316400.0,0.7879999999999999,3.08e-06,G#,0.174,-4.342,Major,0.231,166.97299999999998,4-Apr,0.722,Hip-Hop
49062,78192.0,2Pac,Thugz Mansion - 7 Remix,61.0,0.302,0.71,247600.0,0.642,0.0,F,0.263,-6.206,Minor,0.293,87.87299999999999,4-Apr,0.8909999999999999,Hip-Hop
46774,69138.0,2Pac,Better Dayz,58.0,0.0766,0.746,257627.0,0.732,0.0,C#,0.157,-4.2330000000000005,Major,0.1939999999999999,90.881,4-Apr,0.627,Hip-Hop
25379,38977.0,2Pac,To Live & Die In L.A.,55.0,0.205,0.5770000000000001,272627.0,0.86,0.0,A,0.3339999999999999,-6.2,Minor,0.318,173.84400000000002,4-Apr,0.789,Rap
47300,73170.0,2Pac,They Don't Give A F**** About Us,56.0,0.287,0.84,306200.0,0.7390000000000001,0.0,E,0.342,-4.885,Minor,0.272,81.866,4-Apr,0.812,Hip-Hop
25612,23699.0,2Pac,Picture Me Rollin',60.0,0.0289999999999999,0.8320000000000001,314720.0,0.757,0.0,G,0.4629999999999999,-4.908,Major,0.135,95.905,4-Apr,0.449,Rap
25669,44785.0,2Pac,Until The End Of Time,57.0,0.0288,0.757,-1.0,0.7090000000000001,0.0,G#,0.17,-6.716,Major,0.203,?,4-Apr,0.38,Rap
48541,71198.0,2Pac,Wonda Why They Call U B____,56.0,0.0731,0.792,258467.0,0.8759999999999999,0.0,E,0.351,-2.8560000000000003,Minor,0.228,101.277,4-Apr,0.457,Hip-Hop
27257,62095.0,2Pac,Thugz Mansion - 7 Remix,61.0,0.302,0.71,247600.0,0.642,0.0,F,0.263,-6.206,Minor,0.293,87.87299999999999,4-Apr,0.8909999999999999,Rap
27507,83662.0,2Pac,So Many Tears,63.0,0.0233,0.894,239227.0,0.598,1.23e-05,C#,0.0663,-7.59,Major,0.173,92.708,4-Apr,0.605,Rap
48154,48976.0,2Pac,All About U,67.0,0.065,0.8590000000000001,276813.0,0.792,0.0,D,0.3,-4.007,Major,0.141,103.20100000000001,4-Apr,0.7659999999999999,Hip-Hop
49928,21709.0,2Pac,To Live & Die In L.A.,55.0,0.205,0.5770000000000001,272627.0,0.86,0.0,A,0.3339999999999999,-6.2,Minor,0.318,173.84400000000002,4-Apr,0.789,Hip-Hop
49862,23088.0,2Pac,So Many Tears,63.0,0.0233,0.894,239227.0,0.598,1.23e-05,C#,0.0663,-7.59,Major,0.173,92.708,4-Apr,0.605,Hip-Hop
45850,59733.0,2Pac,Until The End Of Time,57.0,0.0288,0.757,-1.0,0.7090000000000001,0.0,G#,0.17,-6.716,Major,0.203,97.023,4-Apr,0.38,Hip-Hop
27156,59401.0,2Pac,Better Dayz,58.0,0.0766,0.746,257627.0,0.732,0.0,C#,0.157,-4.2330000000000005,Major,0.1939999999999999,?,4-Apr,0.627,Rap
26446,70202.0,2Pac,All About U,67.0,0.065,0.8590000000000001,276813.0,0.792,0.0,D,0.3,-4.007,Major,0.141,103.20100000000001,4-Apr,0.7659999999999999,Rap
38745,61119.0,3 Doors Down,Here Without You,75.0,0.0537,0.536,238560.0,0.55,0.0,A#,0.134,-6.733,Minor,0.0248,144.018,4-Apr,0.2339999999999999,Rock
16705,79853.0,3 Doors Down,Be Like That,56.0,0.00536,0.487,265907.0,0.7020000000000001,4.93e-06,G,0.129,-6.042999999999999,Major,0.0238,95.973,4-Apr,0.306,Alternative
39018,55667.0,3 Doors Down,Be Like That,59.0,0.00536,0.487,265907.0,0.7020000000000001,4.93e-06,G,0.129,-6.042999999999999,Major,0.0238,95.973,4-Apr,0.306,Rock
15721,86656.0,3 Doors Down,Here Without You,72.0,0.0537,0.536,238560.0,0.55,0.0,A#,0.134,-6.733,Minor,0.0248,144.018,4-Apr,0.2339999999999999,Alternative
35622,36916.0,38 Special,Second Chance,53.0,0.177,0.655,304693.0,0.429,0.0,A#,0.0643,-12.824000000000002,Major,0.0289,118.73200000000001,4-Apr,0.528,Rock
24138,67779.0,38 Special,Second Chance,53.0,0.177,0.655,304693.0,0.429,0.0,A#,0.0643,-12.824000000000002,Major,0.0289,118.73200000000001,4-Apr,0.528,Country
28822,48327.0,50 Cent,Heat,50.0,0.312,0.638,254893.0,0.968,0.0,F#,0.401,-2.748,Minor,0.479,85.801,4-Apr,0.691,Rap
26089,49931.0,50 Cent,Many Men (Wish Death),66.0,0.0153,0.574,-1.0,0.841,0.000797,B,0.121,-2.92,Minor,0.43,108.095,5-Apr,0.402,Rap
48363,56742.0,50 Cent,Back Down,51.0,0.24,0.7879999999999999,243013.0,0.652,2.12e-06,D,0.0712,-2.459,Major,0.165,89.03299999999999,4-Apr,0.241,Hip-Hop
26178,29194.0,50 Cent,Best Friend,63.0,0.4039999999999999,0.5529999999999999,-1.0,0.637,0.0,A#,0.0911,-3.912,Minor,0.367,?,4-Apr,0.667,Rap
25325,26051.0,50 Cent,Hustler's Ambition,56.0,0.286,0.472,237347.0,0.6729999999999999,0.0,G,0.311,-8.263,Major,0.3229999999999999,86.491,4-Apr,0.6779999999999999,Rap
28785,89275.0,50 Cent,I'm The Man,67.0,0.306,0.7859999999999999,235703.0,0.44,0.0,G#,0.121,-7.672999999999999,Minor,0.157,98.014,4-Apr,0.315,Rap
27386,79620.0,50 Cent,Ayo Technology,54.0,0.0943,0.442,247947.0,0.774,0.0,G#,0.0329,-5.537999999999999,Minor,0.198,139.775,4-Apr,0.377,Rap
26270,72175.0,50 Cent,21 Questions,72.0,0.3879999999999999,0.547,224427.0,0.807,9.11e-05,F#,0.0436,-4.083,Minor,0.36,?,3-Apr,0.919,Rap
26305,70945.0,50 Cent,When It Rains It Pours,61.0,0.0156,0.726,242227.0,0.735,0.0,D,0.304,-3.407,Major,0.177,82.0,4-Apr,0.236,Rap
26064,42015.0,50 Cent,In My Hood,55.0,0.177,0.812,-1.0,0.727,0.0,C#,0.282,-5.156000000000001,Major,0.2769999999999999,89.962,4-Apr,0.475,Rap
47138,52447.0,50 Cent,Ayo Technology,54.0,0.0943,0.442,247947.0,0.774,0.0,G#,0.0329,-5.537999999999999,Minor,0.198,?,4-Apr,0.377,Hip-Hop
47471,61525.0,50 Cent,When It Rains It Pours,61.0,0.0156,0.726,242227.0,0.735,0.0,D,0.304,-3.407,Major,0.177,82.0,4-Apr,0.236,Hip-Hop
47454,39106.0,50 Cent,21 Questions,72.0,0.3879999999999999,0.547,224427.0,0.807,9.11e-05,F#,0.0436,-4.083,Minor,0.36,79.82300000000001,3-Apr,0.919,Hip-Hop
46964,81856.0,50 Cent,In My Hood,55.0,0.177,0.812,-1.0,0.727,0.0,C#,0.282,-5.156000000000001,Major,0.2769999999999999,89.962,4-Apr,0.475,Hip-Hop
47239,43241.0,50 Cent,I'm The Man - Remix,58.0,0.387,0.743,235703.0,0.5,0.0,D#,0.123,-7.104,Minor,0.133,98.04799999999999,4-Apr,0.39,Hip-Hop
45504,65624.0,50 Cent,I'm The Man,67.0,0.306,0.7859999999999999,235703.0,0.44,0.0,G#,0.121,-7.672999999999999,Minor,0.157,98.014,4-Apr,0.315,Hip-Hop
46431,21909.0,50 Cent,Get In My Car,56.0,0.106,0.6940000000000001,245907.0,0.866,0.0,B,0.136,-5.614,Minor,0.305,75.182,4-Apr,0.784,Hip-Hop
47236,66241.0,50 Cent,Best Friend,63.0,0.4039999999999999,0.5529999999999999,251547.0,0.637,0.0,A#,0.0911,-3.912,Minor,0.367,181.704,4-Apr,0.667,Hip-Hop
28212,31515.0,50 Cent,I'll Still Kill,51.0,0.12,0.527,223507.0,0.727,9.63e-06,D,0.318,-5.162000000000001,Minor,0.401,131.98,3-Apr,0.7170000000000001,Rap
25729,58652.0,50 Cent,Get In My Car,56.0,0.106,0.6940000000000001,-1.0,0.866,0.0,B,0.136,-5.614,Minor,0.305,75.182,4-Apr,0.784,Rap
45339,82807.0,50 Cent,Many Men (Wish Death),66.0,0.0153,0.574,256227.0,0.841,0.000797,B,0.121,-2.92,Minor,0.43,108.095,5-Apr,0.402,Hip-Hop
27893,46350.0,50 Cent,Back Down,51.0,0.24,0.7879999999999999,243013.0,0.652,2.12e-06,D,0.0712,-2.459,Major,0.165,89.03299999999999,4-Apr,0.241,Rap
27782,47168.0,50 Cent,I'm The Man - Remix,58.0,0.387,0.743,235703.0,0.5,0.0,D#,0.123,-7.104,Minor,0.133,98.04799999999999,4-Apr,0.39,Rap
48585,70195.0,50 Cent,Hustler's Ambition,56.0,0.286,0.472,237347.0,0.6729999999999999,0.0,G,0.311,-8.263,Major,0.3229999999999999,86.491,4-Apr,0.6779999999999999,Hip-Hop
45325,88956.0,50 Cent,I'll Still Kill,51.0,0.12,0.527,223507.0,0.727,9.63e-06,D,0.318,-5.162000000000001,Minor,0.401,131.98,3-Apr,0.7170000000000001,Hip-Hop
46345,54044.0,50 Cent,Heat,50.0,0.312,0.638,254893.0,0.968,0.0,F#,0.401,-2.748,Minor,0.479,85.801,4-Apr,0.691,Hip-Hop
